timestamp,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2021-09-01 00:00:00+00:00,46979.5,48292.5,46678,47139,172200,1551806200,47359.024,100,3.28E+12,32766.97185,1551806200
2021-09-02 00:00:00+00:00,47139,49118.5,46507,48849.5,171957,1627801000,47847.5768,500,3.40E+12,34020.67854,1627801000
2021-09-03 00:00:00+00:00,48849.5,50440.5,48623,49314,187711,1762725600,49680.0604,100,3.55E+12,35481.64382,1762725600
2021-09-04 00:00:00+00:00,49314,51123.5,48350,50026,203803,1970239700,49920.8754,1100,3.95E+12,39467.42388,1970239700
2021-09-05 00:00:00+00:00,50026,50588,49402,49949,121708,1036367200,50034.0231,100,2.07E+12,20713.27018,1036367200
2021-09-06 00:00:00+00:00,49949,51982.5,49496,51848.5,140852,1284632700,50538.9984,5000,2.54E+12,25418.68027,1284632700
2021-09-07 00:00:00+00:00,51848.5,52837,51043,52713.5,133995,1334573500,51805.9556,100,2.58E+12,25761.08598,1334573500
2021-09-08 00:00:00+00:00,52713.5,52999,42479.5,46861,408071,4696714300,48447.0304,600,9.69E+12,96945.50343,4696714300
2021-09-09 00:00:00+00:00,46861,47340,44465,46053.5,217441,1786649600,46032.4621,400,3.88E+12,38812.90709,1786649600
2021-09-10 00:00:00+00:00,46053.5,47381,45512,46376,152236,1204808500,46377.6719,200,2.60E+12,25978.30118,1204808500
2021-09-11 00:00:00+00:00,46376,47029.5,44132,44836,175440,1614230900,45683.169,10700,3.53E+12,35335.4955,1614230900
2021-09-12 00:00:00+00:00,44836,45964,44706,45157,112253,916593200,45322.0814,11000,2.02E+12,20224.06517,916593200
2021-09-13 00:00:00+00:00,45157,46500,44730.5,46025,112125,993983200,45640.2182,164900,2.18E+12,21778.71029,993983200
2021-09-14 00:00:00+00:00,46025,46985,43400,44974.5,224680,2200568800,44888.7432,400,4.90E+12,49022.88914,2200568800
2021-09-15 00:00:00+00:00,44974.5,47243,44698.5,47108.5,150533,1244721900,46110.3605,2200,2.70E+12,26994.5266,1244721900
2021-09-16 00:00:00+00:00,47108.5,48436,46676.5,48110.5,129890,1120661200,47592.3053,66500,2.35E+12,23547.12067,1120661200
2021-09-17 00:00:00+00:00,48110.5,48500,47044.5,47740,130267,1104154700,47802.9753,100,2.31E+12,23098.03638,1104154700
2021-09-18 00:00:00+00:00,47740,48150,46656,47277,125218,1027193700,47445.7576,100,2.17E+12,21649.9541,1027193700
2021-09-19 00:00:00+00:00,47277,48838.5,47031.5,48266,105338,852342800,48257.6573,40000,1.77E+12,17662.39628,852342800
2021-09-20 00:00:00+00:00,48266,48339,46820,47221.5,110464,880183200,47584.6054,11300,1.85E+12,18497.24139,880183200
2021-09-21 00:00:00+00:00,47221.5,47335,42311,43005.5,280149,2431567500,44318.9725,100,5.49E+12,54865.24359,2431567500
2021-09-22 00:00:00+00:00,43005.5,43617.5,39500,40712,310049,2855913400,42012.9232,400,6.80E+12,67977.27309,2855913400
2021-09-23 00:00:00+00:00,40712,44016.5,40536.5,43542.5,174115,1304517100,42582.7276,1400,3.06E+12,30635.00004,1304517100
2021-09-24 00:00:00+00:00,43542.5,44994,43086,44860,142752,1153319900,44096.7659,3300,2.62E+12,26154.29914,1153319900
2021-09-25 00:00:00+00:00,44860,45146,40575.5,42839.5,264138,2454451700,42552.8293,100,5.77E+12,57680.27615,2454451700
2021-09-26 00:00:00+00:00,42839.5,42990,41652.5,42674,133479,894027700,42545.9496,6100,2.10E+12,21013.25474,894027700
2021-09-27 00:00:00+00:00,42674,43953.5,40801,43166,163122,1406080700,42497.8539,200,3.31E+12,33086.00409,1406080700
2021-09-28 00:00:00+00:00,43166,44400,42052,42119,140653,1126071200,43431.8077,300,2.59E+12,25927.45051,1126071200
2021-09-29 00:00:00+00:00,42119,42765.5,40830.5,40983,172019,1279389300,41845.5564,200,3.06E+12,30574.09963,1279389300
2021-09-30 00:00:00+00:00,40983,42590,40705,41490.5,157728,1171004500,41754.1765,100,2.80E+12,28045.22304,1171004500
2021-10-01 00:00:00+00:00,41490.5,44119,41379,43801.5,174602,1456638500,43212.7841,7000,3.37E+12,33708.56983,1456638500
2021-10-02 00:00:00+00:00,43801.5,48471.5,43251,48150,195352,1756881700,46344.7867,100,3.79E+12,37909.07459,1756881700
2021-10-03 00:00:00+00:00,48150,48340.5,47444,47660,87874,571812000,47850.5532,200,1.20E+12,11949.99308,571812000
