timestamp,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2021-09-01 00:00:00+00:00,47101.5,47396,47024.5,47139,5123,40596700,47215.4678,100,85981820352,859.8182035,40596700
2021-09-01 01:00:00+00:00,47139,47357,46703,46755.5,8817,88792700,46951.2224,1000,1.89118E+11,1891.177821,88792700
2021-09-01 02:00:00+00:00,46755.5,46861.5,46507,46845,10102,91471000,46647.2303,900,1.96091E+11,1960.910985,91471000
2021-09-01 03:00:00+00:00,46845,47100,46726,46892,5611,44219400,46892.4381,100,94299646447,942.9964645,44219400
2021-09-01 04:00:00+00:00,46892,47047.5,46696.5,47046.5,4490,39357200,46828.9759,600,84044669802,840.446698,39357200
2021-09-01 05:00:00+00:00,47046.5,47260,46978.5,47157,4746,42663000,47122.6886,5300,90536335906,905.3633591,42663000
2021-09-01 06:00:00+00:00,47157,47486,47094.5,47440,6976,77062500,47331.4527,300,1.62815E+11,1628.153021,77062500
2021-09-01 07:00:00+00:00,47440,47482,47202.5,47324.5,4643,40376500,47356.1085,9400,85261560956,852.6156096,40376500
2021-09-01 08:00:00+00:00,47324.5,47460,47115.5,47192.5,6164,43862500,47296.0829,600,92740442083,927.4044208,43862500
2021-09-01 09:00:00+00:00,47192.5,47438,47129,47363,5938,44729600,47290.4913,400,94585147655,945.8514765,44729600
2021-09-01 10:00:00+00:00,47363,47712,47330.5,47667,6713,57690100,47554.0571,6800,1.21315E+11,1213.149607,57690100
2021-09-01 11:00:00+00:00,47667,47773,47539.5,47539.5,5483,47436900,47667.396,300,99516863039,995.1686304,47436900
2021-09-01 12:00:00+00:00,47539.5,47791,47540,47738,4112,28467100,47686.7173,2100,59696143719,596.9614372,28467100
2021-09-01 13:00:00+00:00,47738,47867.5,47601,47750,5565,54929600,47773.2871,1000,1.1498E+11,1149.798543,54929600
2021-09-01 14:00:00+00:00,47750,47820,47367,47485,6696,59807300,47581.8884,16800,1.25694E+11,1256.936039,59807300
2021-09-01 15:00:00+00:00,47485,47691,47297.5,47306,5539,35827200,47466.4768,100,75478970069,754.7897007,35827200
2021-09-01 16:00:00+00:00,47306,47540,47305.5,47520,4124,33901500,47417.1859,100,71496459462,714.9645946,33901500
2021-09-01 17:00:00+00:00,47520,48611.5,47415.5,48499,20659,213183500,48189.0553,2000,4.42391E+11,4423.912237,213183500
